Day,Month,Year,Event,Number,Place,Winner
23,3,2013,192,1,1,01-7-8-2-9
23,3,2013,192,1,2,09-0-2-6-9
23,3,2013,192,1,3,27-2-1-9-3
23,3,2013,192,1,4,27-7-8-5-3
23,3,2013,192,1,5,07-1-5-2-2
23,3,2013,192,1,6,11-3-1-3-6
23,3,2013,192,1,7,05-3-5-1-3
22,6,2013,193,2,1,16-2-3-6-7
22,6,2013,193,2,2,09-3-2-9-4
22,6,2013,193,2,3,11-0-6-1-2
22,6,2013,193,2,4,23-4-3-7-0
22,6,2013,193,2,5,26-0-3-8-9
22,6,2013,193,2,6,33-2-9-4-4
22,6,2013,193,2,7,28-4-8-0-5
21,9,2013,194,3,1,28-3-9-3-6
21,9,2013,194,3,2,21-5-6-5-9
21,9,2013,194,3,3,26-0-7-1-7
21,9,2013,194,3,4,14-0-3-8-5
21,9,2013,194,3,5,22-9-6-3-8
21,9,2013,194,3,6,04-2-5-8-4
21,9,2013,194,3,7,08-9-2-1-2
21,12,2013,195,4,1,34-9-5-8-0
21,12,2013,195,4,2,09-3-8-4-4
21,12,2013,195,4,3,12-7-2-2-9
21,12,2013,195,4,4,34-7-9-0-1
21,12,2013,195,4,5,35-2-1-1-6
21,12,2013,195,4,6,27-6-1-0-6
21,12,2013,195,4,7,24-4-9-6-8
5,4,2014,196,5,1,18-5-0-8-4
5,4,2014,196,5,2,11-1-9-5-9
5,4,2014,196,5,3,01-1-9-9-9
5,4,2014,196,5,4,10-9-5-1-7
5,4,2014,196,5,5,06-2-7-4-4
5,4,2014,196,5,6,29-1-2-0-2
5,4,2014,196,5,7,07-3-4-8-1
27,9,2014,197,6,1,26-8-6-6-7
27,9,2014,197,6,2,01-7-3-9-6
27,9,2014,197,6,3,10-7-6-3-0
27,9,2014,197,6,4,16-9-0-1-9
27,9,2014,197,6,5,16-2-4-8-8
27,9,2014,197,6,6,26-1-7-3-1
27,9,2014,197,6,7,23-1-0-6-9
20,12,2014,198,7,1,18-9-1-4-0
20,12,2014,198,7,2,28-3-0-7-9
20,12,2014,198,7,3,16-2-0-2-1
20,12,2014,198,7,4,19-5-3-2-6
20,12,2014,198,7,5,24-8-1-2-1
20,12,2014,198,7,6,11-7-1-7-7
20,12,2014,198,7,7,07-1-7-6-5
20,6,2015,199,8,1,16-9-1-1-7
20,6,2015,199,8,2,26-3-0-9-3
20,6,2015,199,8,3,12-9-1-8-7
20,6,2015,199,8,4,24-5-4-2-2
20,6,2015,199,8,5,23-8-1-7-0
20,6,2015,199,8,6,20-8-5-0-4
20,6,2015,199,8,7,01-4-8-5-7
19,12,2015,200,9,1,11-5-0-0-3
19,12,2015,200,9,2,03-1-9-9-8
19,12,2015,200,9,3,12-4-2-5-6
19,12,2015,200,9,4,05-8-2-7-9
19,12,2015,200,9,5,24-1-4-7-3
19,12,2015,200,9,6,20-3-1-0-2
19,12,2015,200,9,7,12-5-5-7-2
18,6,2016,201,10,1,14-9-0-8-5
18,6,2016,201,10,2,00-8-0-6-4
18,6,2016,201,10,3,23-2-9-5-3
18,6,2016,201,10,4,00-1-5-3-0
18,6,2016,201,10,5,02-7-8-5-5
18,6,2016,201,10,6,19-7-5-8-1
18,6,2016,201,10,7,18-8-8-5-5
22,12,2016,202,11,1,11-1-1-2-7
22,12,2016,202,11,2,19-6-2-0-1
22,12,2016,202,11,3,02-6-7-6-6
22,12,2016,202,11,4,23-6-4-1-6
22,12,2016,202,11,5,02-4-4-2-4
22,12,2016,202,11,6,18-2-7-5-1
22,12,2016,202,11,7,20-4-2-1-7
24,6,2017,203,12,1,22-9-2-0-6
24,6,2017,203,12,2,17-2-7-7-4
24,6,2017,203,12,3,20-4-7-9-5
24,6,2017,203,12,4,21-4-4-0-6
24,6,2017,203,12,5,07-2-7-6-9
24,6,2017,203,12,6,01-5-3-7-4
24,6,2017,203,12,7,21-9-2-8-9
22,12,2017,204,13,1,07-9-3-2-6
22,12,2017,204,13,2,21-0-8-8-1
22,12,2017,204,13,3,26-7-4-1-9
22,12,2017,204,13,4,23-1-7-0-1
22,12,2017,204,13,5,10-2-7-8-6
22,12,2017,204,13,6,03-1-7-3-9
22,12,2017,204,13,7,12-1-2-8-7
23,6,2018,205,14,1,11-7-6-9-6
23,6,2018,205,14,2,24-3-0-6-7
23,6,2018,205,14,3,01-8-5-0-1
23,6,2018,205,14,4,11-8-8-6-4
23,6,2018,205,14,5,00-1-1-1-4
23,6,2018,205,14,6,08-0-9-7-1
23,6,2018,205,14,7,15-6-8-6-1
22,12,2018,206,15,1,27-2-7-2-6
22,12,2018,206,15,2,21-3-0-5-7
22,12,2018,206,15,3,25-6-6-1-9
22,12,2018,206,15,4,00-0-1-6-3
22,12,2018,206,15,5,06-5-3-1-5
22,12,2018,206,15,6,27-2-6-8-6
22,12,2018,206,15,7,15-3-2-5-4
22,6,2019,207,16,1,19-4-8-8-2
22,6,2019,207,16,2,06-7-3-5-1
22,6,2019,207,16,3,23-5-8-3-3
22,6,2019,207,16,4,19-2-1-9-2
22,6,2019,207,16,5,00-3-0-7-0
22,6,2019,207,16,6,16-1-2-9-2
22,6,2019,207,16,7,14-9-0-8-0
21,12,2019,208,17,1,17-2-7-6-3
21,12,2019,208,17,2,12-7-1-2-5
21,12,2019,208,17,3,04-7-5-8-0
21,12,2019,208,17,4,09-3-7-5-1
21,12,2019,208,17,5,07-0-7-8-5
21,12,2019,208,17,6,01-2-0-8-7
21,12,2019,208,17,7,20-3-9-1-7
